n,game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,TeamA_shotQuality,TeamB_shotQuality,TeamA_efficiency,TeamB_efficiency,TeamA_shotsToGoalsConversion,TeamB_shotsToGoalsConversion,TeamA_qualityOfPossession,TeamB_qualityOfPossession,TeamA_totalGoalsFor,TeamB_totalGoalsFor,TeamA_avgTimePossession,TeamB_avgTimePossession,TeamA_avgxG,TeamB_avgxG,TeamA_avgxGagainst,TeamB_avgxGagainst,TeamA_defEfficiency,TeamB_defEfficiency,TeamA_totalGoalsAgainst,TeamB_totalGoalsAgainst,TeamA_totalShotsAgainst,TeamB_totalShotsAgainst,TeamA_goalDifferential,TeamB_goalDifferential
18,game_2023_18,TAC,TUC,1,3,0.9,2.11,18,18,7,10,0,0,0,0,0.58,0.0531921335542789,0.330244762022986,0.358690191147554,0.585087427873677,0.449783007144655,0.498261064597546,0.345131313424925,0.358889114595143,0.379310344827586,0.344827586206897,0.516339869281046,0.440087145969498,0.0577030812324929,0.290196078431373,0.724816849816851,0.566849816849817,0.489138676077906,0.559226708083404,0.852941176470588,1.0,0.935714285714286,0.621428571428571,0.145833333333333,0.0208333333333333
19,game_2023_19,DES,SFS,2,2,1.42,0.87,20,10,6,8,0,0,0,1,0.49,0.279935230979336,0.497373005375335,0.29816381400806,0.517567523755997,0.796126484273434,0.745935433683392,0.0705744767440761,0.0096411649249535,0.586206896551724,0.689655172413793,0.758169934640522,0.965141612200435,0.150140056022409,0.743417366946779,0.183150183150183,0.305860805860806,0.253880983182406,0.289391349271685,0.352941176470588,0.441176470588235,0.371428571428571,0.528571428571429,0.625,0.625
20,game_2023_20,BAK,OAK,1,2,1.27,1.64,9,20,2,3,0,0,0,0,0.55,0.23840648707891,0.209834197560421,0.745151014337419,0.426057792980839,0.261356334719516,0.547658091493348,0.749181667147452,0.597764579041982,0.275862068965517,0.551724137931035,0.217864923747277,0.261437908496732,0.345098039215687,0.373109243697479,0.399267399267399,0.0329670329670323,0.145908953432375,0.0088485367998727,0.323529411764706,0.294117647058824,0.864285714285714,0.407142857142857,0.458333333333333,0.645833333333333
21,game_2023_21,EUG,AUG,2,1,1.16,1.44,10,11,5,5,0,0,0,0,0.53,0.0736094343804694,0.389669429205849,0.44220648876546,0.446569169145241,0.379832657733635,0.719933163806639,0.748325755349758,0.247747526967967,0.275862068965517,0.793103448275862,0.0,0.928104575163398,0.0,0.801120448179272,0.661630036630037,0.271978021978022,0.685182420080427,0.733429606556675,0.441176470588235,0.205882352941176,0.621428571428571,0.0357142857142857,0.375,0.854166666666667
22,game_2023_22,MAN,TOL,3,1,0.67,1.53,19,18,9,9,0,0,0,0,0.53,0.313397143954351,0.124204228897042,0.689686592918579,0.373346352947471,0.379593703627665,0.514045213920212,0.42837148390396,0.45560323715552,0.379310344827586,0.517241379310345,0.503267973856209,0.553376906318083,0.415126050420168,0.309803921568627,0.237179487179488,0.443223443223443,0.18370676960206,0.288363210743547,0.382352941176471,0.352941176470588,0.542857142857143,0.75,0.479166666666667,0.583333333333333
23,game_2023_23,JAC,DOV,2,3,1.01,2.42,7,17,5,5,0,0,0,0,0.65,0.523648959926068,0.297557210782622,0.714363072881088,0.550210590676536,0.553497616834444,0.501869450945742,0.251752609759691,1.0,0.655172413793103,0.793103448275862,0.882352941176469,0.13507625272331,0.761344537815127,0.782072829131654,0.150641025641026,0.0,0.232189840519893,0.328796683137871,0.0,0.588235294117647,0.342857142857143,0.0,0.916666666666667,0.583333333333333
24,game_2023_24,MOB,SPR,1,0,1.42,0.7,15,6,6,4,0,0,1,1,0.67,0.283240732138344,0.0208471564316035,0.780875366691122,0.0,0.272733512626436,0.950464160499166,0.0,0.632968549464841,0.0,0.862068965517241,0.607843137254901,0.0392156862745094,0.100280112044819,0.0106442577030812,0.681318681318681,0.417124542124541,0.599035652355132,0.318344676303503,0.352941176470588,0.735294117647059,0.742857142857143,0.671428571428571,0.270833333333333,0.520833333333333
25,game_2023_25,BOI,REN,1,1,2.21,0.78,24,9,10,0,0,0,0,0,0.48,0.383718314944547,0.224962223665508,0.831697135513398,0.60617608110139,0.320423927403879,0.372213484856172,0.694304221825842,0.341062682414029,0.448275862068966,0.413793103448276,0.366013071895425,0.734204793028321,0.814005602240896,0.487394957983194,0.155677655677656,0.198717948717948,0.050581028680159,0.137048030571805,0.352941176470588,0.205882352941176,0.571428571428571,0.535714285714286,0.541666666666667,0.625
26,game_2023_26,FOR,PRO,1,2,2.05,0.77,17,14,2,2,0,0,0,0,0.58,1.0,0.142585531070856,1.0,0.131423538405976,0.691560655382254,0.883786867224716,0.060199644137893,0.458309759699621,0.517241379310345,0.896551724137931,0.910675381263615,0.335511982570806,0.824089635854342,0.332773109243698,0.72985347985348,0.440934065934066,0.443854489062318,0.218873791712534,0.676470588235294,0.205882352941176,1.0,0.835714285714286,0.354166666666667,0.916666666666667
27,game_2023_27,FAR,ALB,3,2,2.26,1.16,17,10,8,6,0,0,1,0,0.69,0.796547148511553,0.39200440805192,0.55960761757585,0.519355407497304,1.0,0.633844957065494,0.400218581745265,0.464060606079411,1.0,0.551724137931035,0.660130718954248,0.357298474945534,1.0,0.36638655462185,0.0810439560439559,0.512820512820513,0.106827842274156,0.395080968334526,0.176470588235294,0.794117647058824,0.371428571428571,0.728571428571429,1.0,0.291666666666667
28,game_2023_28,ALB,FOR,2,2,1.04,1.25,15,12,1,2,0,0,0,0,0.39,0.39200440805192,1.0,0.519355407497304,1.0,0.633844957065494,0.691560655382254,0.464060606079411,0.060199644137893,0.551724137931035,0.517241379310345,0.357298474945534,0.910675381263615,0.36638655462185,0.824089635854342,0.512820512820513,0.72985347985348,0.395080968334526,0.443854489062318,0.794117647058824,0.676470588235294,0.728571428571429,1.0,0.291666666666667,0.354166666666667
29,game_2023_29,SJU,MAN,1,2,2.31,2.1,19,20,4,3,0,0,1,0,0.55,0.249700841341583,0.313397143954351,0.905336841357923,0.689686592918579,0.148691448574762,0.379593703627665,0.380988633170811,0.42837148390396,0.0,0.379310344827586,0.285403050108932,0.503267973856209,0.174229691876751,0.415126050420168,0.643315018315019,0.237179487179488,0.908708681025879,0.18370676960206,0.735294117647059,0.382352941176471,0.378571428571429,0.542857142857143,0.0,0.479166666666667
30,game_2023_30,TOL,LEX,1,1,2.18,1.27,22,9,6,4,0,0,0,0,0.69,0.124204228897042,0.294203728647082,0.373346352947471,0.725373218884525,0.514045213920212,0.329672883333663,0.45560323715552,0.809037778033173,0.517241379310345,0.413793103448276,0.553376906318083,0.200435729847494,0.309803921568627,0.503641456582633,0.443223443223443,0.649267399267399,0.288363210743547,0.386439854389985,0.352941176470588,0.147058823529412,0.75,0.95,0.583333333333333,0.666666666666667
31,game_2023_31,REN,SFS,0,1,1.5,0.83,18,10,4,7,0,0,0,0,0.37,0.224962223665508,0.497373005375335,0.60617608110139,0.517567523755997,0.372213484856172,0.745935433683392,0.341062682414029,0.0096411649249535,0.413793103448276,0.689655172413793,0.734204793028321,0.965141612200435,0.487394957983194,0.743417366946779,0.198717948717948,0.305860805860806,0.137048030571805,0.289391349271685,0.205882352941176,0.441176470588235,0.535714285714286,0.528571428571429,0.625,0.625
32,game_2023_32,PRO,FAR,3,1,1.61,1.16,16,19,9,2,0,0,0,0,0.47,0.142585531070856,0.796547148511553,0.131423538405976,0.55960761757585,0.883786867224716,1.0,0.458309759699621,0.400218581745265,0.896551724137931,1.0,0.335511982570806,0.660130718954248,0.332773109243698,1.0,0.440934065934066,0.0810439560439559,0.218873791712534,0.106827842274156,0.205882352941176,0.176470588235294,0.835714285714286,0.371428571428571,0.916666666666667,1.0
33,game_2023_33,AUG,JAC,0,2,1.63,1.16,9,8,2,2,0,0,0,0,0.51,0.389669429205849,0.523648959926068,0.446569169145241,0.714363072881088,0.719933163806639,0.553497616834444,0.247747526967967,0.251752609759691,0.793103448275862,0.655172413793103,0.928104575163398,0.882352941176469,0.801120448179272,0.761344537815127,0.271978021978022,0.150641025641026,0.733429606556675,0.232189840519893,0.205882352941176,0.0,0.0357142857142857,0.342857142857143,0.854166666666667,0.916666666666667
34,game_2023_34,SAS,OAK,0,2,0.29,0.99,10,15,2,2,0,0,0,0,0.57,0.121748313236144,0.209834197560421,0.436144021577213,0.426057792980839,0.439138528678609,0.547658091493348,0.546453040500561,0.597764579041982,0.551724137931035,0.551724137931035,0.494553376906319,0.261437908496732,0.473949579831933,0.373109243697479,0.133699633699634,0.0329670329670323,0.0427675398948521,0.0088485367998727,0.235294117647059,0.294117647058824,0.542857142857143,0.407142857142857,0.6875,0.645833333333333
35,game_2023_35,LAR,BOI,3,0,2.03,0.5,14,7,4,5,0,0,0,0,0.5,0.405192109985864,0.383718314944547,0.518452627777258,0.831697135513398,0.64865755137818,0.320423927403879,0.305302378740333,0.694304221825842,0.517241379310345,0.448275862068966,0.577342047930282,0.366013071895425,0.456022408963586,0.814005602240896,0.0068681318681318,0.155677655677656,0.0,0.050581028680159,0.382352941176471,0.352941176470588,0.371428571428571,0.571428571428571,0.5625,0.541666666666667
36,game_2023_36,DOV,WIC,0,2,1.11,1.34,9,13,7,4,0,0,0,0,0.31,0.297557210782622,0.0665497054933212,0.550210590676536,0.718898632367245,0.501869450945742,0.123380488508384,1.0,0.122191472985314,0.793103448275862,0.103448275862069,0.13507625272331,0.954248366013071,0.782072829131654,0.220728291316526,0.0,1.0,0.328796683137871,1.0,0.588235294117647,0.705882352941177,0.0,0.75,0.583333333333333,0.0833333333333333
37,game_2023_37,ANC,TAC,3,1,3.05,0.81,17,5,6,1,0,0,1,1,0.44,0.469224306597343,0.0531921335542789,0.736454473708852,0.358690191147554,0.481491009656465,0.449783007144655,0.7266495916312,0.345131313424925,0.724137931034483,0.379310344827586,0.400871459694989,0.516339869281046,0.92717086834734,0.0577030812324929,0.167582417582417,0.724816849816851,0.384319798628673,0.489138676077906,0.088235294117647,0.852941176470588,0.207142857142857,0.935714285714286,0.895833333333333,0.145833333333333
38,game_2023_38,CHM,MOB,0,2,1.85,1.14,15,5,6,2,0,0,0,0,0.48,0.0,0.283240732138344,0.806760390053371,0.780875366691122,0.0,0.272733512626436,0.384932177530867,0.0,0.0344827586206896,0.0,0.67755991285403,0.607843137254901,0.2593837535014,0.100280112044819,0.496336996336996,0.681318681318681,0.446709634694757,0.599035652355132,0.0294117647058823,0.352941176470588,0.642857142857143,0.742857142857143,0.520833333333333,0.270833333333333
39,game_2023_39,TUC,EUG,3,1,2.18,0.51,14,10,4,9,1,0,1,0,0.58,0.330244762022986,0.0736094343804694,0.585087427873677,0.44220648876546,0.498261064597546,0.379832657733635,0.358889114595143,0.748325755349758,0.344827586206897,0.275862068965517,0.440087145969498,0.0,0.290196078431373,0.0,0.566849816849817,0.661630036630037,0.559226708083404,0.685182420080427,1.0,0.441176470588235,0.621428571428571,0.621428571428571,0.0208333333333333,0.375
40,game_2023_40,LRO,DES,1,1,1.67,0.55,14,9,7,3,0,0,0,0,0.6,0.712425083514106,0.279935230979336,0.737740776520077,0.29816381400806,0.704442482155434,0.796126484273434,0.148860795196459,0.0705744767440761,0.689655172413793,0.586206896551724,1.0,0.758169934640522,0.970868347338936,0.150140056022409,0.254120879120879,0.183150183150183,0.195066855804243,0.253880983182406,0.0294117647058823,0.352941176470588,0.557142857142857,0.371428571428571,0.916666666666667,0.625
41,game_2023_41,SPR,BAK,3,3,0.9,1.18,11,8,4,4,0,0,0,1,0.48,0.0208471564316035,0.23840648707891,0.0,0.745151014337419,0.950464160499166,0.261356334719516,0.632968549464841,0.749181667147452,0.862068965517241,0.275862068965517,0.0392156862745094,0.217864923747277,0.0106442577030812,0.345098039215687,0.417124542124541,0.399267399267399,0.318344676303503,0.145908953432375,0.735294117647059,0.323529411764706,0.671428571428571,0.864285714285714,0.520833333333333,0.458333333333333
42,game_2023_42,TUC,ANC,2,0,1.67,0.95,14,16,5,2,0,0,0,0,0.58,0.330244762022986,0.469224306597343,0.585087427873677,0.736454473708852,0.498261064597546,0.481491009656465,0.358889114595143,0.7266495916312,0.344827586206897,0.724137931034483,0.440087145969498,0.400871459694989,0.290196078431373,0.92717086834734,0.566849816849817,0.167582417582417,0.559226708083404,0.384319798628673,1.0,0.088235294117647,0.621428571428571,0.207142857142857,0.0208333333333333,0.895833333333333
43,game_2023_43,MOB,SJU,0,1,0.57,1.49,5,9,9,8,0,0,1,0,0.5,0.283240732138344,0.249700841341583,0.780875366691122,0.905336841357923,0.272733512626436,0.148691448574762,0.0,0.380988633170811,0.0,0.0,0.607843137254901,0.285403050108932,0.100280112044819,0.174229691876751,0.681318681318681,0.643315018315019,0.599035652355132,0.908708681025879,0.352941176470588,0.735294117647059,0.742857142857143,0.378571428571429,0.270833333333333,0.0
44,game_2023_44,LEX,PRO,0,1,1.14,0.58,12,8,5,6,0,0,0,0,0.49,0.294203728647082,0.142585531070856,0.725373218884525,0.131423538405976,0.329672883333663,0.883786867224716,0.809037778033173,0.458309759699621,0.413793103448276,0.896551724137931,0.200435729847494,0.335511982570806,0.503641456582633,0.332773109243698,0.649267399267399,0.440934065934066,0.386439854389985,0.218873791712534,0.147058823529412,0.205882352941176,0.95,0.835714285714286,0.666666666666667,0.916666666666667
45,game_2023_45,LRO,JAC,0,1,0.95,1.89,11,11,8,3,0,0,0,0,0.54,0.712425083514106,0.523648959926068,0.737740776520077,0.714363072881088,0.704442482155434,0.553497616834444,0.148860795196459,0.251752609759691,0.689655172413793,0.655172413793103,1.0,0.882352941176469,0.970868347338936,0.761344537815127,0.254120879120879,0.150641025641026,0.195066855804243,0.232189840519893,0.0294117647058823,0.0,0.557142857142857,0.342857142857143,0.916666666666667,0.916666666666667
46,game_2023_46,DES,LAR,1,2,0.58,1.33,14,17,2,7,0,0,0,1,0.49,0.279935230979336,0.405192109985864,0.29816381400806,0.518452627777258,0.796126484273434,0.64865755137818,0.0705744767440761,0.305302378740333,0.586206896551724,0.517241379310345,0.758169934640522,0.577342047930282,0.150140056022409,0.456022408963586,0.183150183150183,0.0068681318681318,0.253880983182406,0.0,0.352941176470588,0.382352941176471,0.371428571428571,0.371428571428571,0.625,0.5625
47,game_2023_47,BOI,OAK,2,0,1.38,0.41,18,14,4,11,0,0,0,0,0.42,0.383718314944547,0.209834197560421,0.831697135513398,0.426057792980839,0.320423927403879,0.547658091493348,0.694304221825842,0.597764579041982,0.448275862068966,0.551724137931035,0.366013071895425,0.261437908496732,0.814005602240896,0.373109243697479,0.155677655677656,0.0329670329670323,0.050581028680159,0.0088485367998727,0.352941176470588,0.294117647058824,0.571428571428571,0.407142857142857,0.541666666666667,0.645833333333333
48,game_2023_48,SFS,TOL,2,1,1.63,1.05,20,10,6,6,0,0,0,0,0.62,0.497373005375335,0.124204228897042,0.517567523755997,0.373346352947471,0.745935433683392,0.514045213920212,0.0096411649249535,0.45560323715552,0.689655172413793,0.517241379310345,0.965141612200435,0.553376906318083,0.743417366946779,0.309803921568627,0.305860805860806,0.443223443223443,0.289391349271685,0.288363210743547,0.441176470588235,0.352941176470588,0.528571428571429,0.75,0.625,0.583333333333333
49,game_2023_49,AUG,DOV,3,3,0.84,0.82,10,18,7,3,0,0,0,0,0.73,0.389669429205849,0.297557210782622,0.446569169145241,0.550210590676536,0.719933163806639,0.501869450945742,0.247747526967967,1.0,0.793103448275862,0.793103448275862,0.928104575163398,0.13507625272331,0.801120448179272,0.782072829131654,0.271978021978022,0.0,0.733429606556675,0.328796683137871,0.205882352941176,0.588235294117647,0.0357142857142857,0.0,0.854166666666667,0.583333333333333
50,game_2023_50,SAS,ALB,2,1,1.53,0.55,20,2,6,1,0,0,0,0,0.49,0.121748313236144,0.39200440805192,0.436144021577213,0.519355407497304,0.439138528678609,0.633844957065494,0.546453040500561,0.464060606079411,0.551724137931035,0.551724137931035,0.494553376906319,0.357298474945534,0.473949579831933,0.36638655462185,0.133699633699634,0.512820512820513,0.0427675398948521,0.395080968334526,0.235294117647059,0.794117647058824,0.542857142857143,0.728571428571429,0.6875,0.291666666666667
51,game_2023_51,BAK,WIC,1,2,1.45,1.15,5,10,7,5,0,0,0,0,0.38,0.23840648707891,0.0665497054933212,0.745151014337419,0.718898632367245,0.261356334719516,0.123380488508384,0.749181667147452,0.122191472985314,0.275862068965517,0.103448275862069,0.217864923747277,0.954248366013071,0.345098039215687,0.220728291316526,0.399267399267399,1.0,0.145908953432375,1.0,0.323529411764706,0.705882352941177,0.864285714285714,0.75,0.458333333333333,0.0833333333333333
52,game_2023_52,MAN,TAC,4,1,1.84,0.09,12,6,7,4,0,0,0,0,0.54,0.313397143954351,0.0531921335542789,0.689686592918579,0.358690191147554,0.379593703627665,0.449783007144655,0.42837148390396,0.345131313424925,0.379310344827586,0.379310344827586,0.503267973856209,0.516339869281046,0.415126050420168,0.0577030812324929,0.237179487179488,0.724816849816851,0.18370676960206,0.489138676077906,0.382352941176471,0.852941176470588,0.542857142857143,0.935714285714286,0.479166666666667,0.145833333333333
53,game_2023_53,SPR,CHM,2,1,0.83,0.69,12,15,5,6,0,0,1,1,0.44,0.0208471564316035,0.0,0.0,0.806760390053371,0.950464160499166,0.0,0.632968549464841,0.384932177530867,0.862068965517241,0.0344827586206896,0.0392156862745094,0.67755991285403,0.0106442577030812,0.2593837535014,0.417124542124541,0.496336996336996,0.318344676303503,0.446709634694757,0.735294117647059,0.0294117647058823,0.671428571428571,0.642857142857143,0.520833333333333,0.520833333333333
54,game_2023_54,FOR,REN,0,4,1.92,1.21,10,18,6,4,0,0,0,0,0.61,1.0,0.224962223665508,1.0,0.60617608110139,0.691560655382254,0.372213484856172,0.060199644137893,0.341062682414029,0.517241379310345,0.413793103448276,0.910675381263615,0.734204793028321,0.824089635854342,0.487394957983194,0.72985347985348,0.198717948717948,0.443854489062318,0.137048030571805,0.676470588235294,0.205882352941176,1.0,0.535714285714286,0.354166666666667,0.625
55,game_2023_55,FAR,EUG,1,0,1.24,0.84,14,11,4,5,0,0,0,0,0.62,0.796547148511553,0.0736094343804694,0.55960761757585,0.44220648876546,1.0,0.379832657733635,0.400218581745265,0.748325755349758,1.0,0.275862068965517,0.660130718954248,0.0,1.0,0.0,0.0810439560439559,0.661630036630037,0.106827842274156,0.685182420080427,0.176470588235294,0.441176470588235,0.371428571428571,0.621428571428571,1.0,0.375
56,game_2023_56,DES,LEX,2,1,1.48,1.05,15,5,6,7,0,0,0,0,0.58,0.279935230979336,0.294203728647082,0.29816381400806,0.725373218884525,0.796126484273434,0.329672883333663,0.0705744767440761,0.809037778033173,0.586206896551724,0.413793103448276,0.758169934640522,0.200435729847494,0.150140056022409,0.503641456582633,0.183150183150183,0.649267399267399,0.253880983182406,0.386439854389985,0.352941176470588,0.147058823529412,0.371428571428571,0.95,0.625,0.666666666666667
